AGE;GENDER;DOMAIN;PhD;YEARSEXP;UOC_POSITION;USERWIKI;PU1;PU2;PU3;PEU1;PEU2;PEU3;ENJ1;ENJ2;Qu1;Qu2;Qu3;Qu4;Qu5;Vis1;Vis2;Vis3;Im1;Im2;Im3;SA1;SA2;SA3;Use1;Use2;Use3;Use4;Use5;Pf1;Pf2;Pf3;JR1;JR2;BI1;BI2;Inc1;Inc2;Inc3;Inc4;Exp1;Exp2;Exp3;Exp4;Exp5
36;Female;Arts&Humanities;No;4;Adjunct;No;3;3;3;3;3;3;3;3;?;?;?;?;?;?;?;1;2;4;2;4;5;5;1;1;1;1;2;3;4;2;4;3;1;1;3;3;3;3;1;1;1;1;1
52;Female;Arts&Humanities;No;2;Adjunct;No;2;2;2;3;4;4;3;3;2;2;2;5;2;3;3;?;2;4;4;4;5;5;1;1;2;2;3;5;5;5;5;5;2;3;4;4;4;4;2;3;3;3;5
55;Female;Arts&Humanities;No;15;Adjunct;No;3;4;3;4;4;4;4;4;3;3;3;3;3;3;3;3;2;3;3;4;4;4;3;3;3;3;4;1;2;2;4;4;3;4;4;3;4;3;3;4;4;2;5
45;Female;Arts&Humanities;No;3;Adjunct;No;2;2;2;5;5;5;5;5;2;2;5;2;2;2;5;2;2;4;3;5;5;5;2;?;2;2;2;4;5;1;5;3;2;2;5;5;5;5;2;2;2;2;4
32;Female;Arts&Humanities;No;6;Adjunct;No;4;4;5;5;5;?;3;4;4;4;4;2;3;4;3;3;1;1;?;4;4;4;3;3;4;3;4;2;4;4;2;2;3;5;5;4;5;4;4;4;5;1;5
30;Female;Arts&Humanities;Yes;4;Adjunct;No;3;3;4;5;2;4;4;4;3;3;3;4;3;3;3;1;1;2;5;5;5;5;3;1;1;1;3;1;3;1;5;3;5;5;5;5;5;5;3;5;5;1;1
28;Female;Arts&Humanities;No;2;Adjunct;No;3;3;3;4;4;5;4;4;3;4;3;3;3;3;3;1;1;3;2;3;3;3;2;1;1;2;1;3;1;1;?;?;?;?;?;?;?;?;3;4;4;2;1
32;Female;Arts&Humanities;No;6;Adjunct;No;2;3;5;5;3;3;4;4;2;3;2;2;2;2;3;1;1;1;1;4;4;4;2;2;2;2;5;2;2;1;3;3;2;3;5;2;2;5;4;5;5;1;2
50;Female;Arts&Humanities;Yes;27;Adjunct;No;2;2;3;5;4;3;4;4;4;4;3;4;3;2;4;1;2;2;2;5;5;4;2;1;1;1;2;1;4;1;4;3;2;2;5;5;5;5;?;2;4;1;1
50;Female;Arts&Humanities;Yes;11;Adjunct;No;1;2;2;5;5;?;4;4;2;2;2;2;1;?;?;1;1;?;?;5;5;4;1;1;1;1;1;1;4;4;3;3;2;?;5;5;5;5;2;2;?;1;2
38;Female;Arts&Humanities;No;1;Adjunct;No;4;2;3;3;4;3;5;5;3;5;2;3;3;?;?;2;2;4;4;5;5;5;2;1;2;3;5;1;1;2;4;4;3;3;5;5;5;5;4;5;5;1;5
41;Female;Arts&Humanities;Yes;18;Adjunct;No;2;3;3;5;1;?;4;3;1;2;1;1;?;3;?;1;2;4;?;4;5;5;2;2;2;2;3;3;3;2;?;?;?;?;?;?;?;?;1;2;2;3;1
46;Female;Arts&Humanities;No;5;Adjunct;No;1;2;2;5;5;3;1;5;3;3;1;5;3;2;3;1;2;2;1;5;5;5;1;1;1;1;3;1;3;1;1;1;3;3;1;1;2;1;1;3;3;1;1
31;Female;Arts&Humanities;No;4;Adjunct;Yes;2;2;3;4;4;3;3;4;3;4;3;5;3;3;3;2;3;4;3;3;3;3;1;1;2;2;3;1;2;1;2;1;1;1;3;3;3;3;2;2;4;2;1
52;Female;Arts&Humanities;No;9;Adjunct;No;3;5;5;5;5;4;5;5;4;?;3;3;2;4;4;5;2;2;3;5;5;5;3;3;5;5;5;4;5;4;4;4;4;4;5;5;4;5;5;5;5;2;4
34;Female;Arts&Humanities;Yes;6;Adjunct;No;3;2;5;4;5;5;5;5;3;4;3;4;3;3;3;1;2;2;2;5;5;5;3;2;1;1;3;2;3;2;2;2;3;3;5;4;4;4;4;4;4;2;1
46;Female;Arts&Humanities;No;4;Adjunct;Yes;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;4;4;3;3;2;3;4;4;4;4;3;3;4;3;4;3;4;3;4
43;Female;Arts&Humanities;No;5;Adjunct;Yes;?;?;2;5;4;?;1;?;2;2;2;4;?;?;?;1;?;4;?;4;4;4;1;1;1;?;1;1;2;2;4;4;1;1;?;?;?;4;2;2;2;1;4
33;Female;Arts&Humanities;Yes;4;Adjunct;No;2;4;5;5;5;3;5;5;4;3;4;2;3;3;4;1;2;4;2;4;4;4;1;4;3;2;4;3;2;3;4;4;3;4;4;3;3;3;3;4;5;2;4
38;Female;Arts&Humanities;No;4;Adjunct;No;4;4;4;3;4;3;4;4;5;5;5;2;4;4;4;2;3;3;4;3;2;2;1;1;1;2;5;1;1;4;2;2;5;4;5;1;1;2;2;2;4;2;1
52;Female;Arts&Humanities;No;5;Adjunct;Yes;3;3;4;5;5;1;3;3;3;3;3;3;3;3;1;1;3;4;4;5;4;5;1;1;3;3;4;1;2;1;3;4;2;1;3;3;4;4;2;4;5;1;3
48;Female;Arts&Humanities;No;4;Adjunct;No;3;3;3;4;4;?;3;4;3;4;3;4;3;3;?;2;2;4;?;4;5;5;1;1;3;3;3;1;3;3;4;?;?;?;5;4;5;4;3;3;2;1;2
49;Female;Arts&Humanities;No;3;Adjunct;No;4;4;5;5;5;2;5;3;4;4;4;2;3;3;3;3;3;4;3;4;5;5;1;1;3;1;4;1;3;2;3;3;3;3;4;2;2;3;3;2;3;1;5
44;Female;Arts&Humanities;No;4;Adjunct;No;5;5;5;5;5;3;5;5;4;4;3;3;3;3;3;3;4;4;3;4;4;5;3;1;3;3;4;3;3;3;5;3;3;3;3;3;5;3;5;5;5;1;3
45;Female;Arts&Humanities;No;20;Adjunct;No;3;3;3;5;5;3;4;5;5;5;5;?;5;3;3;3;3;5;3;5;5;5;1;1;4;5;5;5;3;1;5;3;4;3;5;5;5;5;3;5;5;1;5
43;Female;Arts&Humanities;No;0;Adjunct;No;2;2;3;3;?;2;2;2;3;3;3;4;3;2;3;3;2;2;3;3;2;2;1;3;2;3;2;2;3;4;4;3;3;4;3;3;3;4;3;3;3;3;4
35;Female;Arts&Humanities;No;3;Adjunct;Yes;2;?;4;4;4;3;4;3;4;4;3;3;4;4;4;4;3;3;2;4;4;4;4;1;4;3;4;5;5;1;4;4;3;4;4;3;?;4;4;4;4;5;1
48;Female;Arts&Humanities;Yes;21;Adjunct;No;2;2;2;3;3;4;4;4;2;2;3;4;3;3;3;1;1;3;2;5;5;5;1;1;3;2;2;5;5;5;5;4;3;3;3;4;3;4;3;3;2;1;4
48;Female;Arts&Humanities;Yes;3;Adjunct;No;3;3;4;3;3;1;2;2;3;3;2;3;3;3;2;3;3;3;2;3;3;3;3;4;3;2;3;1;1;1;4;?;3;3;?;3;4;3;3;4;4;1;2
37;Female;Arts&Humanities;No;6;Adjunct;No;3;3;3;5;5;?;4;4;4;4;4;2;3;?;?;2;3;?;?;5;5;4;2;1;3;?;5;1;2;1;4;?;3;3;4;4;3;3;4;4;4;1;4
38;Female;Arts&Humanities;No;15;Adjunct;No;3;3;2;5;5;4;4;4;4;4;4;3;2;3;4;1;2;4;2;4;4;4;?;?;1;1;2;1;1;1;3;4;2;3;4;4;2;2;2;?;?;?;4
33;Female;Arts&Humanities;No;2;Adjunct;No;2;2;2;5;5;?;3;2;3;3;2;4;2;2;?;1;3;2;2;3;2;2;2;1;2;2;4;2;3;1;4;4;2;2;4;3;5;5;4;3;5;1;3
47;Female;Arts&Humanities;No;15;Adjunct;No;3;3;4;4;4;3;4;4;3;4;4;3;4;4;3;3;3;4;4;4;4;4;2;2;4;4;4;1;1;1;4;4;4;4;4;4;4;4;3;4;4;1;4
37;Female;Arts&Humanities;No;2;Adjunct;No;2;2;5;5;5;2;3;?;5;4;4;?;4;2;4;?;2;4;3;3;5;5;1;1;1;1;?;1;1;1;5;4;2;2;4;4;4;3;1;1;5;1;4
35;Female;Arts&Humanities;No;2;Adjunct;No;5;5;5;5;5;5;5;5;5;5;5;3;5;3;3;5;5;3;3;5;5;5;3;1;5;5;5;5;5;3;3;3;5;5;5;5;3;3;5;5;5;1;5
27;Female;Arts&Humanities;Yes;1;Adjunct;No;2;2;4;3;3;?;2;3;2;2;2;2;2;2;3;2;2;4;4;4;3;3;2;1;2;3;3;2;2;4;3;2;2;2;2;2;3;3;4;4;4;1;2
47;Female;Arts&Humanities;No;9;Adjunct;No;3;3;3;5;4;?;4;4;3;3;3;3;2;?;?;1;2;2;2;5;5;5;1;1;3;3;3;1;1;?;5;5;3;3;5;5;5;5;2;2;2;1;1
31;Female;Arts&Humanities;Yes;4;Adjunct;No;3;3;3;5;5;3;4;4;2;?;3;3;3;3;3;1;2;3;3;3;3;5;1;1;2;1;3;1;1;2;4;4;2;2;3;2;2;2;2;3;3;1;3
38;Female;Arts&Humanities;No;1;Adjunct;No;2;2;3;5;5;3;3;3;3;3;3;3;2;?;?;1;1;4;2;5;5;5;2;1;1;1;2;1;3;1;5;5;2;2;4;3;4;4;2;2;2;1;4
40;Female;Arts&Humanities;Yes;9;Adjunct;No;3;3;4;5;5;3;3;4;3;3;3;3;3;3;3;2;2;3;3;5;5;5;3;3;3;3;4;1;3;3;3;3;4;4;5;5;3;5;3;3;3;1;1
49;Female;Arts&Humanities;No;0;Adjunct;No;2;2;3;4;3;3;2;3;2;2;2;2;2;2;2;1;2;2;2;5;5;5;1;1;2;2;3;1;3;3;3;3;2;2;3;4;5;5;2;2;2;2;2
23;Female;Arts&Humanities;No;?;Adjunct;No;2;2;2;4;4;3;4;3;3;4;3;4;2;2;3;1;2;3;2;5;3;5;1;1;1;2;2;1;3;1;3;3;2;2;5;5;5;5;2;2;4;1;1
43;Female;Arts&Humanities;No;20;Adjunct;No;3;3;3;5;5;4;5;4;3;4;3;4;3;3;5;1;1;3;3;5;5;5;1;1;1;1;3;3;4;3;4;3;3;2;?;3;3;4;4;?;4;1;3
51;Female;Arts&Humanities;No;19;Adjunct;No;2;2;2;4;3;4;2;2;2;3;2;2;1;1;3;1;3;3;2;3;3;3;1;1;1;1;2;1;4;3;?;?;?;?;?;?;?;?;2;3;1;1;2
46;Female;Arts&Humanities;Yes;21;Adjunct;No;3;4;5;4;5;?;5;5;4;4;4;1;4;?;?;4;1;1;3;5;5;5;4;1;5;3;5;3;2;4;4;4;4;5;4;4;5;5;5;4;4;1;1
49;Female;Arts&Humanities;Yes;23;Adjunct;No;3;3;3;5;5;?;4;4;3;3;3;2;3;3;?;1;1;3;5;5;3;5;2;3;4;4;4;4;4;4;2;3;4;3;4;4;4;4;4;4;4;1;2
37;male;Engineering;Yes;13;Assistant;No;2;2;2;4;4;3;3;3;2;2;2;5;3;2;3;2;2;4;3;4;2;4;1;1;1;1;1;3;3;3;4;3;1;1;5;3;5;5;2;2;2;1;3
40;male;Engineering;No;13;Assistant;No;3;3;4;3;3;3;4;3;3;4;3;3;3;3;4;3;2;2;3;5;5;5;3;3;3;3;3;4;4;4;5;4;3;3;3;4;4;3;4;4;3;3;4
47;male;Engineering;No;17;Assistant;No;2;2;3;5;4;3;3;3;3;3;3;4;4;3;4;4;3;5;3;5;5;5;2;1;3;2;4;4;3;2;4;1;4;4;5;3;2;4;4;3;4;1;4
43;male;Engineering;No;11;Assistant;No;4;4;4;5;?;5;5;5;4;4;4;2;4;4;4;4;3;5;3;5;5;5;3;4;4;3;5;4;3;3;5;4;3;4;4;4;4;1;4;5;5;2;2
50;male;Engineering;Yes;25;Associate;No;4;4;4;5;5;?;5;4;4;4;4;2;3;3;?;3;3;5;3;4;5;5;4;1;5;4;5;2;2;4;4;4;5;5;5;5;5;5;4;5;2;1;1
40;male;Engineering;Yes;13;Associate;Yes;3;3;4;5;4;4;5;4;3;4;3;3;2;3;4;2;2;4;3;5;4;5;2;3;4;3;4;1;2;4;4;3;3;4;3;3;2;4;4;4;4;1;2
44;male;Engineering;Yes;15;Associate;Yes;4;4;4;3;4;4;5;5;4;5;4;2;4;4;3;4;3;3;3;5;5;4;3;2;4;4;4;4;5;5;4;3;5;5;4;4;4;4;4;4;5;4;4
40;male;Engineering;Yes;18;Associate;Yes;4;4;5;5;4;4;4;5;4;4;5;2;4;4;4;2;3;5;5;5;4;4;1;1;4;4;5;4;5;5;4;3;4;4;4;3;3;4;5;4;5;1;5
39;male;Engineering;No;12;Lecturer;Yes;5;4;4;4;4;4;5;4;4;4;4;2;5;4;4;3;3;4;3;5;5;5;3;2;4;4;4;5;5;4;3;2;4;4;5;5;4;5;4;5;5;3;3
39;male;Engineering;Yes;10;Assistant;No;2;3;3;4;4;4;5;5;2;4;2;3;3;2;2;1;2;2;2;2;3;3;2;1;2;2;2;3;3;4;2;2;3;2;4;4;4;4;4;5;5;1;4
38;male;Engineering;Yes;14;Associate;Yes;4;4;4;5;4;3;4;4;4;4;3;3;4;4;3;4;3;4;3;5;4;5;3;3;4;4;4;4;3;3;5;3;4;5;4;4;3;3;4;4;4;3;4
35;male;Engineering;Yes;7;Associate;No;4;4;4;3;4;3;4;4;2;3;3;3;3;2;3;2;3;4;2;5;2;4;2;3;3;3;3;4;4;4;4;1;3;3;4;3;3;3;4;3;4;3;3
34;male;Engineering;Yes;11;Associate;No;3;4;4;5;5;4;5;4;4;4;3;4;4;3;2;2;4;4;4;4;4;4;4;4;4;4;3;2;2;2;4;3;4;3;4;4;?;4;4;4;4;1;2
36;male;Engineering;Yes;9;Associate;No;3;3;4;5;4;3;4;4;2;1;1;3;3;4;4;2;3;5;3;5;5;5;1;1;2;2;3;1;2;2;5;2;3;3;4;2;1;4;2;2;3;1;2
34;male;Engineering;Yes;7;Associate;No;3;3;3;5;5;4;2;4;2;4;2;3;2;2;4;1;3;4;3;4;4;4;1;1;3;3;4;1;2;1;4;1;2;2;4;2;4;2;2;2;2;1;5
32;male;Engineering;Yes;8;Associate;No;3;4;4;5;4;4;5;5;4;4;4;3;5;4;4;1;3;5;4;5;5;5;2;1;2;2;5;2;1;4;3;3;3;3;4;4;3;4;4;5;5;1;4
32;male;Engineering;No;7;Lecturer;No;4;3;3;5;4;3;5;5;3;4;2;5;4;3;4;1;3;5;2;5;4;4;1;1;1;1;2;1;1;1;4;1;2;2;2;5;1;5;1;2;4;1;1
33;male;Engineering;Yes;5;Assistant;No;2;3;4;3;4;3;4;4;4;4;3;2;3;2;3;2;2;4;2;3;4;4;2;1;2;3;2;2;1;2;3;1;2;3;5;5;5;5;4;4;4;1;3
41;male;Engineering;Yes;?;Assistant;No;4;4;4;2;3;1;4;3;4;4;4;2;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;1;4;4;3;3;3;5;4;4;4;1;4
44;male;Engineering;Yes;17;Associate;No;2;4;4;4;4;?;3;?;4;4;4;2;?;?;?;3;?;?;?;4;?;?;3;?;3;?;4;1;1;1;?;?;2;?;1;1;1;1;4;4;4;1;4
46;Female;Engineering;Yes;15;Assistant;No;4;1;4;5;4;4;1;4;2;2;1;2;1;?;3;1;1;3;?;5;2;3;1;1;1;1;2;2;2;3;2;2;2;2;4;4;4;?;3;4;3;1;2
46;Female;Engineering;Yes;16;Assistant;No;3;3;3;4;4;3;4;3;3;4;3;3;3;2;3;2;2;4;3;4;3;4;3;2;3;2;3;2;2;3;4;2;4;4;4;4;4;4;4;3;4;2;3
50;Female;Engineering;Yes;20;Associate;No;2;2;2;5;4;5;3;?;3;3;3;5;3;1;1;2;3;5;5;5;5;5;1;1;1;1;5;1;3;1;5;1;3;3;3;3;3;3;2;4;5;1;2
43;Female;Engineering;Yes;16;Assistant;Yes;4;4;4;4;3;3;4;4;4;4;4;3;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;3;3;4
29;Female;Engineering;No;5;Lecturer;No;3;3;2;5;3;4;4;4;3;4;3;4;4;3;4;2;3;4;2;4;4;4;1;1;2;2;3;3;4;4;5;4;3;3;4;4;3;3;2;4;4;2;5
45;male;Engineering;No;12;Adjunct;No;4;4;4;5;4;4;4;4;3;3;3;3;3;3;?;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3
39;male;Engineering;No;5;Adjunct;No;4;3;4;4;5;3;5;5;3;4;4;4;4;3;3;1;3;2;3;5;5;3;2;1;2;2;3;1;5;3;4;4;2;2;4;3;4;4;4;4;4;1;1
53;male;Engineering;No;7;Adjunct;No;3;4;4;4;4;3;5;4;4;5;4;3;3;3;3;3;3;4;4;4;4;5;3;2;4;4;4;2;2;2;4;3;4;4;4;4;4;3;4;4;4;1;3
51;male;Engineering;No;5;Adjunct;No;3;4;5;3;3;2;4;4;3;3;2;3;2;3;3;2;2;3;3;4;4;5;2;2;2;2;4;2;2;1;4;3;2;3;2;2;2;2;2;4;4;1;3
46;male;Engineering;No;15;Adjunct;No;3;3;3;4;4;3;4;4;3;4;4;4;4;3;5;2;3;3;4;5;4;4;2;3;3;3;4;3;2;2;3;3;3;3;3;3;4;3;3;4;4;1;5
33;male;Engineering;No;5;Adjunct;No;2;3;3;4;4;4;5;4;3;3;3;1;4;1;2;2;2;3;2;3;4;4;2;2;1;1;2;1;1;2;4;4;2;2;3;3;1;3;2;3;3;1;5
46;male;Engineering;Yes;23;Adjunct;Yes;2;3;4;2;5;3;3;3;3;4;2;4;3;3;4;4;3;4;2;5;4;4;4;2;3;3;3;1;2;5;2;3;2;3;2;3;2;2;4;4;4;1;2
45;male;Engineering;Yes;20;Adjunct;No;3;3;4;4;4;?;5;5;4;4;3;2;4;?;?;2;3;?;3;4;4;4;1;1;2;3;4;1;1;1;3;2;4;4;4;5;4;5;5;4;5;1;1
43;male;Engineering;No;15;Adjunct;No;3;3;3;5;5;3;4;4;3;4;3;3;3;3;3;3;2;4;3;5;5;5;1;1;3;3;3;1;1;2;3;3;3;3;4;3;3;3;4;4;5;1;2
44;male;Engineering;No;14;Adjunct;No;3;?;3;5;4;?;2;4;1;2;2;5;1;?;4;1;1;5;3;5;2;5;1;2;2;2;2;2;4;2;3;1;3;2;4;?;4;?;3;3;2;1;2
56;male;Engineering;No;3;Adjunct;No;1;2;2;3;3;2;3;2;3;2;2;4;2;?;?;2;?;?;?;5;5;5;1;1;1;1;3;1;2;1;4;?;2;2;5;3;3;?;2;3;3;1;1
47;male;Engineering;Yes;20;Adjunct;No;4;4;4;5;3;4;5;5;3;4;3;2;3;3;4;2;2;4;4;4;3;4;1;1;3;3;3;2;2;2;4;3;3;3;5;4;4;4;4;4;4;1;4
39;male;Engineering;Yes;14;Adjunct;Yes;4;4;5;4;4;5;5;5;4;5;3;1;4;3;5;5;2;4;4;5;5;5;2;3;5;4;5;3;3;4;4;3;5;5;3;4;3;5;5;5;5;4;2
39;male;Engineering;No;7;Adjunct;No;3;4;5;5;5;3;5;5;5;5;5;1;5;3;3;5;3;5;3;5;5;5;3;4;5;5;4;3;2;3;4;4;5;5;4;2;2;2;4;4;4;1;2
38;male;Engineering;Yes;6;Adjunct;No;?;4;4;5;4;4;4;3;4;4;4;4;4;4;4;2;3;4;4;5;5;5;2;2;3;3;4;2;3;3;3;3;3;3;4;4;4;4;4;4;4;2;3
43;male;Engineering;No;7;Adjunct;No;4;3;3;5;5;4;4;5;4;4;4;2;2;3;2;1;3;5;3;5;5;5;1;1;3;3;4;1;2;1;4;4;2;2;2;4;4;3;3;3;4;2;1
58;male;Engineering;No;10;Adjunct;No;3;3;4;5;4;5;4;4;3;3;3;3;4;4;3;2;3;5;4;5;5;5;2;3;2;2;4;4;5;4;5;5;3;3;5;4;3;3;3;4;4;2;5
47;male;Engineering;No;5;Adjunct;No;2;2;2;5;3;?;2;4;?;?;?;?;?;?;?;1;2;4;3;5;5;5;1;1;1;1;2;4;4;4;5;?;2;1;?;?;?;?;2;1;3;1;?
44;male;Engineering;No;1;Adjunct;Yes;3;4;4;4;5;4;5;5;4;5;2;3;4;4;4;4;3;5;4;4;5;5;2;4;2;2;3;2;5;4;5;4;3;4;4;3;3;3;5;5;5;4;4
46;male;Engineering;Yes;23;Adjunct;Yes;5;5;5;5;4;3;4;5;4;4;3;2;4;3;3;5;3;3;3;5;5;5;4;2;5;5;5;5;5;5;3;4;5;5;3;1;1;1;5;5;5;3;3
37;male;Engineering;Yes;12;Adjunct;No;5;5;5;5;5;5;5;5;4;4;4;2;4;4;2;3;3;3;4;4;2;5;3;2;4;4;4;1;1;1;4;2;4;4;3;3;3;4;4;4;4;1;2
47;male;Engineering;No;7;Adjunct;No;3;4;5;4;4;2;4;3;5;5;5;3;4;3;3;4;5;3;4;5;5;5;4;2;5;5;5;2;5;5;4;2;5;4;3;4;3;3;5;5;5;2;2
37;male;Engineering;No;6;Adjunct;No;4;4;4;4;4;4;5;5;3;3;3;2;3;3;3;2;4;4;4;4;4;4;4;1;3;4;3;2;3;2;3;3;4;3;5;5;5;5;5;4;5;2;3
34;male;Engineering;No;?;Adjunct;Yes;4;3;4;3;4;3;4;3;2;3;2;2;2;4;4;1;2;3;1;4;4;5;1;2;3;2;3;1;2;1;5;3;3;3;4;3;3;3;2;2;3;2;5
34;male;Engineering;Yes;10;Adjunct;No;4;4;5;5;5;3;4;4;4;4;3;1;4;3;2;3;4;4;3;5;1;4;3;1;4;4;4;1;1;1;3;1;3;4;2;4;1;1;4;3;2;1;1
39;male;Engineering;No;10;Adjunct;No;3;5;4;5;4;?;4;4;3;2;3;3;3;2;?;1;4;4;?;4;4;5;?;?;4;?;4;2;2;3;?;?;?;?;4;?;4;4;5;5;5;1;4
36;male;Engineering;No;12;Adjunct;No;4;3;4;4;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;5;4;3;4;3;3;2;4;4;5;4;1;2;3;4;4;3;2;3;2;3;4;5;1
47;male;Engineering;Yes;24;Adjunct;No;1;2;2;4;3;4;3;3;1;2;2;3;1;1;3;2;2;4;3;4;3;5;2;1;2;2;2;1;1;4;4;4;2;2;2;2;2;2;3;2;1;1;2
51;male;Engineering;No;8;Adjunct;Yes;3;3;4;3;3;2;3;3;4;4;4;4;4;4;2;4;4;3;3;3;3;3;3;3;3;3;3;1;1;2;?;?;?;?;?;4;4;?;3;3;3;2;1
35;male;Engineering;Yes;5;Adjunct;No;4;4;5;5;5;5;5;5;5;5;4;2;4;5;3;1;5;5;5;5;5;5;4;2;2;2;5;1;3;3;5;5;4;4;5;2;2;2;5;5;5;1;4
41;male;Engineering;No;13;Adjunct;No;3;4;3;4;4;4;5;4;3;3;3;4;3;3;3;1;3;4;3;4;4;4;3;3;4;3;5;2;5;1;3;2;4;4;4;4;3;4;4;4;2;2;3
42;male;Engineering;No;8;Adjunct;No;3;3;3;5;4;2;5;4;2;2;3;3;1;3;3;1;2;4;4;5;5;5;3;3;3;2;4;1;1;2;3;3;2;1;2;2;2;2;3;4;4;1;2
43;male;Engineering;No;10;Adjunct;Yes;3;3;4;3;3;3;4;4;2;3;2;5;2;3;3;1;2;3;3;5;5;5;3;2;4;3;?;2;2;2;2;2;3;3;3;3;3;3;3;2;4;2;3
33;male;Engineering;No;12;Adjunct;No;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;1;2;1;2;2;1;2;1;1;1;1;1;1;1;1;1
42;male;Engineering;Yes;14;Adjunct;No;2;3;3;5;4;2;4;3;4;4;3;2;4;3;3;2;2;4;1;5;4;4;2;2;3;2;3;1;2;2;4;3;2;2;4;3;3;4;4;3;4;2;2
47;male;Engineering;Yes;23;Adjunct;No;3;3;3;4;4;4;3;3;3;3;3;3;3;4;2;2;2;3;2;4;3;3;1;1;3;3;3;2;2;3;2;1;2;3;4;4;3;4;2;4;3;1;1
39;male;Engineering;No;3;Adjunct;Yes;5;5;5;5;5;5;5;5;4;3;2;4;4;3;?;5;2;5;3;5;5;5;5;1;4;4;4;1;1;1;3;3;5;5;4;4;4;5;5;5;5;5;2
33;male;Engineering;No;2;Adjunct;No;3;3;4;3;3;3;4;3;3;3;3;2;3;3;2;2;4;3;3;4;3;3;1;1;3;2;3;2;1;1;4;2;2;3;3;3;3;3;3;3;3;1;1
47;male;Engineering;Yes;24;Adjunct;No;2;2;2;4;4;4;2;3;3;3;2;4;2;1;3;1;1;2;1;3;1;4;1;1;1;1;1;3;3;1;3;4;2;1;4;2;2;2;1;3;3;1;2
40;male;Engineering;No;13;Adjunct;No;4;3;4;3;3;4;3;?;4;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;2;2;3;3;4;4;4;4;3;4;?;3;2
37;male;Engineering;No;8;Adjunct;No;3;2;3;4;4;4;2;3;3;2;3;3;3;4;3;2;4;4;4;4;4;5;3;2;3;3;4;2;5;4;3;3;3;4;?;2;2;2;3;4;2;2;4
39;male;Engineering;No;9;Adjunct;No;4;4;5;4;4;3;5;5;4;4;?;3;4;3;3;3;4;5;5;5;5;5;4;1;5;5;5;4;3;1;5;5;5;5;4;5;5;4;5;5;5;1;4
69;male;Engineering;No;10;Adjunct;No;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;4;3;4;3;3;3;3;3
38;male;Engineering;No;4;Adjunct;No;2;3;3;4;4;4;5;5;3;4;4;3;4;3;4;5;3;2;3;5;5;5;3;1;3;3;5;5;3;5;3;3;3;5;5;3;5;3;5;5;3;1;5
34;male;Engineering;Yes;10;Adjunct;Yes;5;4;5;5;5;4;5;4;3;4;4;2;2;2;5;1;5;5;5;5;5;5;5;4;5;5;5;5;5;5;3;3;5;5;3;4;4;3;5;5;3;4;5
51;male;Engineering;Yes;23;Adjunct;No;3;3;2;4;3;?;4;4;4;3;2;3;4;?;?;3;3;3;3;5;5;5;2;2;3;3;3;4;4;4;4;4;3;3;5;4;3;4;3;4;3;1;4
34;male;Engineering;Yes;12;Adjunct;No;5;5;3;4;4;5;5;4;3;3;3;4;4;4;4;1;4;4;4;5;5;5;2;2;2;1;5;2;3;1;3;1;2;2;4;3;3;4;4;4;4;2;1
39;male;Engineering;No;12;Adjunct;Yes;4;4;4;5;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;4;4;3;3;4
24;male;Engineering;No;?;Adjunct;No;2;2;3;5;4;4;4;4;3;3;2;4;3;2;3;3;3;4;2;5;5;5;2;1;2;2;2;1;2;5;2;2;2;2;4;2;2;4;4;4;4;1;4
42;male;Engineering;Yes;10;Adjunct;Yes;4;5;4;4;5;3;4;5;4;3;4;2;3;3;3;5;3;4;4;5;4;5;4;4;4;3;5;4;4;2;?;?;?;?;3;2;2;4;5;4;5;2;2
35;male;Engineering;No;5;Adjunct;No;2;4;4;4;4;4;4;3;3;4;4;3;4;4;3;3;4;4;3;4;5;4;2;2;4;4;4;2;2;2;3;3;4;4;4;3;4;4;4;4;4;2;4
28;male;Engineering;No;1;Adjunct;No;1;3;2;5;5;5;2;5;2;2;3;3;1;3;3;2;2;5;3;5;4;4;2;2;3;3;3;2;3;1;4;3;3;3;4;4;4;4;2;3;4;2;2
38;male;Engineering;Yes;12;Adjunct;No;5;5;5;5;5;3;5;5;5;5;4;3;4;3;3;1;4;5;4;5;5;5;3;1;5;3;5;1;2;2;4;2;4;4;4;4;4;5;3;5;5;1;4
57;male;Engineering;No;6;Adjunct;No;4;4;3;5;4;3;4;4;4;3;4;2;3;3;3;1;3;3;3;4;4;5;1;2;2;2;4;2;2;1;4;3;3;2;1;4;3;2;4;5;3;1;1
